"","date","TDOC"
"487","2017/06/05",32.34999847
"488","2017/06/06",33.45000076
"489","2017/06/07",33.95000076
"490","2017/06/08",33
"491","2017/06/09",31.64999962
"492","2017/06/12",30.70000076
"493","2017/06/13",32.59999847
"494","2017/06/14",33
"495","2017/06/15",33.34999847
"496","2017/06/16",34
"497","2017/06/19",35.79999924
"498","2017/06/20",32.65000153
"499","2017/06/21",33.84999847
"500","2017/06/22",34.65000153
"501","2017/06/23",36
"502","2017/06/26",35.65000153
"503","2017/06/27",34.79999924
"504","2017/06/28",36.15000153
"505","2017/06/29",35.25
"506","2017/06/30",34.70000076
"507","2017/07/03",34.25
"508","2017/07/05",35.09999847
"509","2017/07/06",34.70000076
"510","2017/07/07",35.15000153
"511","2017/07/10",35
"512","2017/07/11",35.20000076
"513","2017/07/12",35.34999847
"514","2017/07/13",34.75
"515","2017/07/14",35.45000076
"516","2017/07/17",34.95000076
"517","2017/07/18",35.15000153
"518","2017/07/19",35.25
"519","2017/07/20",34.45000076
"520","2017/07/21",34.40000153
"521","2017/07/24",34.29999924
"522","2017/07/25",34.70000076
"523","2017/07/26",34.34999847
"524","2017/07/27",32.5
"525","2017/07/28",33.75
"526","2017/07/31",32.79999924
"527","2017/08/01",32.54999924
"528","2017/08/02",30.75
"529","2017/08/03",30.25
"530","2017/08/04",30.89999962
"531","2017/08/07",31.70000076
"532","2017/08/08",32.65000153
"533","2017/08/09",31.95000076
"534","2017/08/10",30.70000076
"535","2017/08/11",30.35000038
"536","2017/08/14",30.70000076
"537","2017/08/15",31.20000076
"538","2017/08/16",30.04999924
"539","2017/08/17",30.14999962
"540","2017/08/18",29.5
"541","2017/08/21",28.95000076
"542","2017/08/22",29.10000038
"543","2017/08/23",29.25
"544","2017/08/24",29.95000076
"545","2017/08/25",29.85000038
"546","2017/08/28",32.65000153
"547","2017/08/29",33.40000153
"548","2017/08/30",33.25
"549","2017/08/31",33.54999924
"550","2017/09/01",34.34999847
"551","2017/09/05",33.20000076
"552","2017/09/06",33
"553","2017/09/07",31.75
"554","2017/09/08",33
"555","2017/09/11",33.75
"556","2017/09/12",34
"557","2017/09/13",34.70000076
"558","2017/09/14",37
"559","2017/09/15",35.95000076
"560","2017/09/18",33.5
"561","2017/09/19",31.35000038
"562","2017/09/20",30.89999962
"563","2017/09/21",31.70000076
"564","2017/09/22",32.70000076
"565","2017/09/25",31.45000076
"566","2017/09/26",31.10000038
"567","2017/09/27",31.35000038
"568","2017/09/28",32.65000153
"569","2017/09/29",33.15000153
"570","2017/10/02",34.20000076
"571","2017/10/03",34.70000076
"572","2017/10/04",34.79999924
"573","2017/10/05",34.34999847
"574","2017/10/06",34.34999847
"575","2017/10/09",33.59999847
"576","2017/10/10",32.29999924
"577","2017/10/11",32.29999924
