"","date","SQ","PYPL","MA","V","index"
"1700",2022-08-22,-0.122075667632064,-0.126776854264844,0.842008201818422,0.747044686487038,1.34020036640855
"1701",2022-08-23,-0.141892491624432,-0.170584987330848,0.762336912156087,0.674946350642059,1.12480578384286
"1702",2022-08-24,-0.172279973551149,-0.176173575747127,0.720266333801721,0.643997697323965,1.01581048182741
"1703",2022-08-25,-0.147617549271168,-0.16793795753172,0.709509412939025,0.641775943342885,1.03572984947902
"1704",2022-08-26,-0.118112507872301,-0.124425620769489,0.754693022000087,0.695652503614251,1.20780739697255
"1705",2022-08-29,-0.202667738732941,-0.183527598419467,0.638748867640801,0.577246403094953,0.829799933583346
"1706",2022-08-30,-0.219108888135406,-0.184115855715818,0.614876705651527,0.567698112393195,0.779350074193497
"1707",2022-08-31,-0.200025358375401,-0.196766701994557,0.600781840328961,0.551507000926565,0.755496780885569
"1708",2022-09-01,-0.202080531784234,-0.172643850315271,0.569274196665522,0.506047767174352,0.700597581740369
"1709",2022-09-02,-0.204429355998581,-0.184115855715818,0.57733725669354,0.530216062617602,0.719008107596742
"1710",2022-09-06,-0.239952618139409,-0.206624176414294,0.552684093887335,0.489889337799534,0.595996637133166
"1711",2022-09-07,-0.255070461224608,-0.199488466816712,0.56661656537905,0.50485674462251,0.616914381960239
"1712",2022-09-08,-0.218081344044674,-0.150146968322619,0.608196140280307,0.535154108538137,0.775121936451152
"1713",2022-09-09,-0.177418125772811,-0.132508263780502,0.621464174161887,0.540093221055674,0.851631005664248
"1714",2022-09-12,-0.123103171531279,-0.131626392528242,0.674290282825099,0.616664980786508,1.03622569955209
"1715",2022-09-13,-0.109012011047963,-0.110761402907982,0.697744877707803,0.641092498684161,1.11906396243602
"1716",2022-09-14,-0.192244984955755,-0.149558910819735,0.579077899386471,0.522384659913134,0.759658663524114
"1717",2022-09-15,-0.207218542570571,-0.110614463604708,0.582833692872157,0.517959269647383,0.782959956344262
"1718",2022-09-16,-0.198117008703021,-0.129128075743873,0.501309802153663,0.449276174249204,0.623340891955973
"1719",2022-09-19,-0.261087957074281,-0.164408791756584,0.484508618844331,0.414143262444545,0.47315513245801
"1720",2022-09-20,-0.278405156186251,-0.149264940397415,0.474406815340968,0.411259674085986,0.457996392843289
"1721",2022-09-21,-0.311271972086277,-0.1992677946605,0.467426286509962,0.393285207762654,0.350171727525839
"1722",2022-09-22,-0.340901661890979,-0.20588846169155,0.386829725627778,0.307779771669064,0.147819373714314
"1723",2022-09-23,-0.392506503194801,-0.257694587387219,0.330378402479252,0.286983116244191,-0.0328395718585766
"1724",2022-09-26,-0.387523683190755,-0.267852833574467,0.286435637128585,0.256061464736311,-0.112879414900326
"1725",2022-09-27,-0.418732576618996,-0.307755985491665,0.254545259516578,0.19917140376541,-0.272771898828673
"1726",2022-09-28,-0.404961707145641,-0.285815553292564,0.221198088823544,0.153296864862949,-0.316282306751711
"1727",2022-09-29,-0.346474431975797,-0.206771230258181,0.255188537636622,0.175386642456463,-0.122670482140893
"1728",2022-09-30,-0.392946126152768,-0.242385422801464,0.22386140253873,0.190229957340562,-0.22124018907494
"1729",2022-10-03,-0.40628034120636,-0.281103829689931,0.201546696950838,0.149587793693897,-0.336249680251556
"1730",2022-10-04,-0.394704697700594,-0.264761132186745,0.257945381412578,0.217058622681136,-0.184461825793626
"1731",2022-10-05,-0.297480808865493,-0.182203757374899,0.357133439618897,0.284616724029856,0.162065597408361
"1732",2022-10-06,-0.301295545050452,-0.166908592749646,0.384071812781277,0.318774103032791,0.234641778013969
"1733",2022-10-07,-0.304523333038742,-0.158233198470464,0.338377474643338,0.283602633510294,0.159223576644427
"1734",2022-10-10,-0.370813734390466,-0.220750320735324,0.299212920808296,0.253865575176606,-0.0384855591408875
"1735",2022-10-11,-0.382393916354512,-0.303927381044622,0.269891875791246,0.226004509040625,-0.190424912567262
"1736",2022-10-12,-0.428838685450158,-0.324985677703671,0.217248735035999,0.174712147839563,-0.361863480278267
"1737",2022-10-13,-0.389428941733616,-0.314382736957463,0.192733483683484,0.15953542226903,-0.351542772738565
"1738",2022-10-14,-0.388109931505767,-0.310995699131151,0.289928590730504,0.267886843027263,-0.141290196879151
"1739",2022-10-17,-0.457242041400927,-0.363568835728915,0.24149856133629,0.233432547972685,-0.345879767820867
"1740",2022-10-18,-0.39265308185686,-0.301865700351416,0.299856472977236,0.277856417936786,-0.116805891294254
"1741",2022-10-19,-0.372866054989469,-0.292588865989475,0.348950737480334,0.310316568582324,-0.00618761491628628
"1742",2022-10-20,-0.421662101382511,-0.304663595150777,0.324862282808269,0.297464718349073,-0.103998695375946
"1743",2022-10-21,-0.403496547065401,-0.300098719406443,0.311255689511614,0.311162289409693,-0.0811772875505381
"1744",2022-10-24,-0.391627191863986,-0.312468276373914,0.367247028514564,0.364478022712544,0.027629582989208
"1745",2022-10-25,-0.376970507071523,-0.321598559255214,0.396942182954745,0.370237678383743,0.0686107950117518
"1746",2022-10-26,-0.337821830092222,-0.234437250285637,0.450339419985791,0.432468757263336,0.310549096871269
"1747",2022-10-27,-0.34060834155901,-0.244593266269153,0.52471156056025,0.584750817702372,0.524260770434459
"1748",2022-10-28,-0.329021671598974,-0.262258396382889,0.523426960598025,0.601130290090299,0.533277182706462
"1749",2022-10-31,-0.313912631084769,-0.278453537081055,0.615974674127898,0.687436784970594,0.711045290932668
"1750",2022-11-01,-0.331808473373671,-0.317769692785627,0.604168811364902,0.650150845304457,0.604741490510061
"1751",2022-11-02,-0.347500944606942,-0.324691086340045,0.649992050738537,0.646219347121993,0.624019366913543
"1752",2022-11-03,-0.411408093443123,-0.378588986396705,0.52755556810963,0.544181087008976,0.281739575278779
"1753",2022-11-04,-0.422101496552925,-0.421285407472815,0.429756206677781,0.438749252857057,0.0251185555090989
"1754",2022-11-07,-0.331221767967369,-0.441449694382111,0.51425107469482,0.476628985000512,0.218208597345852
"1755",2022-11-08,-0.293665943004962,-0.404944674240986,0.576237914672123,0.529705284981747,0.407332582407922
