"","date","CRWD","ZS","OKTA","PANW","FTNT","CYBR","index"
"1293",2023-05-04,-0.297466204237659,-0.604060877103317,-0.850470817354359,0.597843000104891,1.01365018001368,-0.125348050656875,-0.265852769233643
"1294",2023-05-05,-0.29469333356925,-0.599330480529277,-0.814919743781756,0.616652171773374,1.04692326128281,-0.131228067437255,-0.176596192261351
"1295",2023-05-08,-0.234422526630691,-0.577351746114292,-0.798831164754947,0.685230419307836,1.21106597646713,0.0330527078747192,0.318743666149756
"1296",2023-05-09,-0.103529589311015,-0.342669353013673,-0.720844603714174,0.791179459959312,1.28251849091013,0.169704283377686,1.07635868820826
"1297",2023-05-10,-0.135933901613388,-0.315782210484572,-0.766769269109436,0.851606972326981,1.29783271379664,0.109839673680442,1.04079397859667
"1298",2023-05-11,-0.0853089716047678,-0.230567730141569,-0.73511023089395,0.901490196636094,1.32698996312947,0.138481959532606,1.31597518665788
"1299",2023-05-12,-0.106939067848603,-0.247862214824071,-0.725980468994084,0.870373401681532,1.35037454435337,0.263834410616961,1.4038006049851
"1300",2023-05-15,-0.132127616799223,-0.261626547227675,-0.760496025749836,0.900087945037061,1.36324475088674,0.232849007501303,1.34193151364837
"1301",2023-05-16,-0.0623839061165769,-0.179851722416408,-0.733255861549696,0.811869572430254,1.40083575765513,0.329329808902993,1.5665436489057
"1302",2023-05-17,-0.0825572325779212,-0.210881843984286,-0.737107229201191,0.789921484727541,1.38895110186599,0.309140315346654,1.45746659617679
"1303",2023-05-18,-0.0403904630353592,-0.205582980105334,-0.705150675245869,0.791179459959312,1.3946572070248,0.255618427283051,1.4903309758806
"1304",2023-05-19,0.0200254040399139,-0.140136061316261,-0.693165672374317,0.766030833411153,1.38086357907654,0.402116235256237,1.73573431809326
"1305",2023-05-22,0.0575133138650112,-0.123623721508397,-0.679468867388359,0.751228328624778,1.45157346077463,0.504525862835793,1.96174837720345
"1306",2023-05-23,0.092625141158722,-0.0783792923964738,-0.632540956510148,0.799426115654489,1.44636758074069,0.49489311474099,2.12239170338827
"1307",2023-05-24,0.0468053738171098,-0.133707316599366,-0.661350864542174,0.766310236075793,1.37848381573849,0.379808473385381,1.77634971787524
"1308",2023-05-25,0.115977934711588,-0.107743177984699,-0.643521537462045,0.97043643700031,1.30691937546339,0.519093269046826,2.16116230077537
"1309",2023-05-26,0.121325822811511,-0.10572664681643,-0.644947701136893,1.02209134077433,1.3346293406521,0.553872615885482,2.28124477217009
"1310",2023-05-30,0.180128745941561,-0.0561995222783317,-0.594627172059674,1.07456064162454,1.36324475088674,0.549877325643496,2.51698476975834
"1311",2023-05-31,0.238380400356998,-0.00452478090904496,-0.56600286862418,1.08557651021669,1.39988554203614,0.475864361368314,2.62917916444491
"1312",2023-06-01,0.258445513351803,0.00505566745982367,-0.554759557258805,1.09843465065981,1.3899024704699,0.546117021273162,2.7431957659557
"1313",2023-06-02,0.224829282731024,0.000139262907574822,-0.785867699966335,1.14653416936452,1.40463664373898,0.487375140365308,2.47764679914108
"1314",2023-06-05,0.143626184533726,0.092210360554259,-0.798118999940443,1.15290722435727,1.38038758636849,0.418789295512007,2.38980165138531
"1315",2023-06-06,0.179607457698572,0.163691854041137,-0.824026924635691,1.28848260957331,1.52887591834994,0.415736238305806,2.75236715333307
"1316",2023-06-07,0.166050710041874,0.226171797060476,-0.815062103087846,1.25904876041926,1.4473144830392,0.462944639324121,2.74646828679709
"1317",2023-06-08,0.116369238189713,0.124149892562437,-0.823742431460426,1.13888885759976,1.32937749046386,0.441570340207451,2.3266133875628
"1318",2023-06-09,0.143365344021421,0.173424630743272,-0.831992525615471,1.23205293183853,1.421726055343,0.443919184488445,2.5824956208192
"1319",2023-06-12,0.120282350031872,0.198967484367288,-0.832703511998957,1.19344570604628,1.37467585598332,0.440161189104264,2.49482907353407
"1320",2023-06-13,0.140887806087312,0.26403594809874,-0.808656481248298,1.32192198356506,1.46150500023779,0.450730416722975,2.83042467346358
"1321",2023-06-14,0.166963326074536,0.284440204955547,-0.766199002489979,1.3858597732897,1.49218612603425,0.510164520673339,3.07341494853739
"1322",2023-06-15,0.178043380513239,0.283933216421199,-0.789714646875229,1.45607825245037,1.53872888818979,0.479622704041655,3.14669179474102
"1323",2023-06-16,0.254276159369696,0.293949159291612,-0.764630756007159,1.53063510711902,1.63705109180106,0.536246931324971,3.4875276928992
"1324",2023-06-20,0.193423112816499,0.239084365582764,-0.770760802221237,1.56940963175669,1.59945943394927,0.423721218202076,3.25433696008607
